file_name,text
033.webp,"swissposter style, red black cream and cyan typographic poster, overlapping giant lowercase letters, bold cropped forms, small footer information"
034.jpg,"swissposter style, cream editorial poster, monumental cropped red letters, tiny timeline and figure, restrained black microtype, textured paper"
035.jpg,"swissposter style, orange cream music poster, enormous pale number ninety-nine, seated portrait, compact black title, warm retro print texture"
036.jpg,"swissposter style, cream travel poster, orange classic car and fuel pump separated by large negative space, oversized orange headline, vertical microtype"
037.jpg,"swissposter style, orange cream poster, huge cropped word FLY, black bird illustration in motion, compact editorial details, vintage paper grain"
038.jpg,"swissposter style, beige editorial collage, repeated oversized word create, seated black-and-white figure, mustard circle and coral square"
039.jpg,"swissposter style, cream automotive poster, grayscale vintage car and portrait collage, large yellow diagonal arrow, vertical German typography"
040.jpg,"swissposter style, minimal white road trip poster, black vintage van, pale red sun over mountains, tiny centered title, generous negative space"
041.jpg,"swissposter style, cream retro technology poster, vintage computer, red sun, black semicircle, vertical Japanese typography, sparse geometric balance"
042.jpg,"swissposter style, cream mountain poster, black-and-white landscape collage, oversized red sun, thin red vertical rule, asymmetric photographic composition"
043.png,"swissposter style, cream print poster, stacked distressed red citrus halves, rough ink texture, narrow dark border, minimal object study"
044.jpg,"swissposter style, cream mood poster, black vertical pinstripes, rounded yellow orange and blue bars, oversized playful lowercase lettering"
045.jpg,"swissposter style, cream botanical poster, blue engraved flower, coral striped rectangle, vertical red title, minimal asymmetric composition"
046.jpg,"swissposter style, cream cut-paper botanical poster, bold coral leaf silhouette, pale blue rectangle and circle, centered classical typography"
047.jpg,"swissposter style, red grid poster, central dark sculptural photograph, bold white statement typography, visible modular guides and small annotations"
048.jpg,"swissposter style, yellow architecture magazine cover, large black lowercase headline, modernist building photograph, compact editorial footer"
049.jpg,"swissposter style, black and white framework poster, border typography on all sides, central translucent yellow stacked rectangles, rigorous modular system"
050.jpg,"swissposter style, cream Bauhaus poster, overlapping red and ochre circles above black horizontal rules, centered geometric balance"
051.jpg,"swissposter style, blue music poster, enormous cropped white lowercase typography, ski photography and red car, small red event title"
052.jpg,"swissposter style, blue mountain poster, gigantic coral word PEAK behind snowy summit photography, bold condensed display type"
053.jpg,"swissposter style, black automotive poster, silver concept car on white panel, clean Swiss sans serif title, restrained museum-catalog layout"
054.jpg,"swissposter style, dusty mauve music poster, concentric pale pink circular arcs, small lowercase title and event details, subdued monochrome palette"
055.jpg,"swissposter style, sky collage poster, giant black and red number seventy-six, clouds visible through cutout geometry, archival print texture"
056.jpg,"swissposter style, turquoise architecture poster, orange modernist building photograph, giant white letters floating across the grid, compact footer text"
057.jpg,"swissposter style, white red and black minimalist poster, huge red square, isolated centered word, oversized lowercase phrase framing the composition"
058.jpg,"swissposter style, vintage green mountain travel poster, simplified blue coral landscape, yellow funicular line, bold cream destination lettering"
